trade_number,direction,entry_time,entry_price,exit_time,exit_price,duration_minutes,stop_loss,profit_target,position_size,gross_pnl,net_pnl,pnl_percentage,transaction_costs,is_winner,exit_reason,triggered_by,risk_amount,reward_amount,position_high,position_low,baseline_before,baseline_after,cumulative_pnl,running_win_rate,entry_time_str,exit_time_str,account_balance_before,account_balance_after
34,SHORT,2008-01-04 10:45:00,1423.66,2008-01-04 10:50:00,1422.81,5.00,1425.80,1422.81,4.74,80.94,75.94,15.19,5.00,True,PROFIT_TARGET,LOW 1422.09 <= TARGET 1422.81,202.35,80.94,1423.83,1422.09,1424.24,1422.81,193.49,73.53,01/04 10:45,01/04 10:50,10117.55,10193.49
35,SHORT,2008-01-04 10:50:00,1422.09,2008-01-04 10:55:00,1421.24,5.00,1424.22,1421.24,4.78,81.55,76.55,15.31,5.00,True,PROFIT_TARGET,LOW 1420.57 <= TARGET 1421.24,203.87,81.55,1422.59,1420.57,1422.81,1421.24,270.03,74.29,01/04 10:50,01/04 10:55,10193.49,10270.03
36,SHORT,2008-01-04 10:55:00,1420.95,2008-01-04 11:05:00,1420.10,10.00,1423.08,1420.10,4.82,82.16,77.16,15.43,5.00,True,PROFIT_TARGET,LOW 1419.36 <= TARGET 1420.10,205.40,82.16,1422.21,1419.36,1421.24,1420.10,347.19,75.00,01/04 10:55,01/04 11:05,10270.03,10347.19
37,LONG,2008-01-04 11:05:00,1420.73,2008-01-04 11:10:00,1421.58,5.00,1418.60,1421.58,4.86,82.78,77.78,15.56,5.00,True,PROFIT_TARGET,HIGH 1423.48 >= TARGET 1421.58,206.94,82.78,1423.48,1420.45,1420.10,1421.58,424.97,75.68,01/04 11:05,01/04 11:10,10347.19,10424.97
38,LONG,2008-01-04 11:10:00,1423.01,2008-01-04 11:15:00,1420.88,5.00,1420.88,1423.86,4.88,-208.50,-213.50,-42.70,5.00,False,STOP_LOSS,LOW 1420.52 <= STOP 1420.88,208.50,83.40,1423.05,1420.52,1421.58,1420.88,211.47,73.68,01/04 11:10,01/04 11:15,10424.97,10211.47
39,LONG,2008-01-04 11:20:00,1422.92,2008-01-04 11:25:00,1423.77,5.00,1420.79,1423.77,4.78,81.69,76.69,15.34,5.00,True,PROFIT_TARGET,HIGH 1426.02 >= TARGET 1423.77,204.23,81.69,1426.02,1422.92,1420.88,1423.77,288.16,74.36,01/04 11:20,01/04 11:25,10211.47,10288.16
40,LONG,2008-01-04 11:25:00,1425.87,2008-01-04 11:35:00,1423.73,10.00,1423.73,1426.73,4.81,-205.76,-210.76,-42.15,5.00,False,STOP_LOSS,LOW 1423.26 <= STOP 1423.73,205.76,82.31,1426.36,1423.26,1423.77,1423.73,77.40,72.50,01/04 11:25,01/04 11:35,10288.16,10077.40
41,SHORT,2008-01-04 11:45:00,1423.50,2008-01-04 12:00:00,1425.64,15.00,1425.64,1422.65,4.72,-201.55,-206.55,-41.31,5.00,False,STOP_LOSS,HIGH 1426.85 >= STOP 1425.64,201.55,80.62,1426.85,1423.50,1423.73,1425.64,-129.15,70.73,01/04 11:45,01/04 12:00,10077.40,9870.85
42,LONG,2008-01-04 12:00:00,1426.72,2008-01-04 12:05:00,1427.58,5.00,1424.58,1427.58,4.61,78.97,73.97,14.79,5.00,True,PROFIT_TARGET,HIGH 1428.70 >= TARGET 1427.58,197.42,78.97,1428.70,1426.44,1425.64,1427.58,-55.18,71.43,01/04 12:00,01/04 12:05,9870.85,9944.82
43,LONG,2008-01-04 12:05:00,1428.70,2008-01-04 12:20:00,1426.56,15.00,1426.56,1429.56,4.64,-198.90,-203.90,-40.78,5.00,False,STOP_LOSS,LOW 1424.64 <= STOP 1426.56,198.90,79.56,1428.88,1424.64,1427.58,1426.56,-259.08,69.77,01/04 12:05,01/04 12:20,9944.82,9740.92
44,SHORT,2008-01-04 12:20:00,1424.64,2008-01-04 12:25:00,1423.79,5.00,1426.78,1423.79,4.56,77.93,72.93,14.59,5.00,True,PROFIT_TARGET,LOW 1423.15 <= TARGET 1423.79,194.82,77.93,1424.87,1423.15,1426.56,1423.79,-186.15,70.45,01/04 12:20,01/04 12:25,9740.92,9813.85
45,SHORT,2008-01-04 12:25:00,1423.57,2008-01-04 12:30:00,1422.72,5.00,1425.71,1422.72,4.60,78.51,73.51,14.70,5.00,True,PROFIT_TARGET,LOW 1421.53 <= TARGET 1422.72,196.28,78.51,1424.22,1421.53,1423.79,1422.72,-112.64,71.11,01/04 12:25,01/04 12:30,9813.85,9887.36
